,Player,Nation,Pos,Squad,Comp,Age,MP,G/90,G/Sh,PKGoals,PKAttempted,Goals,Pass,PassCompleted,PassComp%,Assist,Cross,CrossCompleted,CrossComp%,Tackle_Won,SucDribble,Dribble,DribbleComp%,YCards,RCards,Fls,Fld,OGoals,AerWon,AerLost,AerWon%
0,Max Aarons,ENG,DF,Norwich City,Premier League,22.0,34,0.0,0.0,0,0,0,1440,1088,75.56,2,45,8,17.78,37,33,78,42.31,8,0,31,59,1,15,51,22.82
1,Yunis Abdelhamid,MAR,DF,Reims,Ligue 1,34.0,34,0.06,0.11,0,0,2,1558,1283,82.35,0,2,0,0.0,46,16,22,72.73,5,1,43,24,0,67,45,59.76
2,Salis Abdul Samed,GHA,MF,Clermont Foot,Ligue 1,22.0,31,0.04,0.06,0,0,1,1669,1529,91.61,0,10,1,10.0,34,27,42,64.29,12,3,45,35,0,24,24,50.0
3,Laurent Abergel,FRA,MF,Lorient,Ligue 1,29.0,34,0.0,0.0,0,0,0,1636,1337,81.72,2,26,6,23.08,73,42,65,64.62,9,0,46,68,0,14,14,50.0
4,Charles Abi,FRA,FW,Saint-Étienne,Ligue 1,22.0,1,0.0,0.0,0,0,0,6,2,33.33,0,1,0,0.0,0,0,0,,0,0,1,0,0,1,0,100.0
5,Dickson Abiama,NGA,FW,Greuther Fürth,Bundesliga,23.0,24,0.0,0.0,0,0,0,139,90,64.75,1,2,0,0.0,7,6,18,33.33,3,0,18,12,0,22,40,35.51
6,Matthis Abline,FRA,FW,Rennes,Ligue 1,19.0,7,0.0,0.0,0,0,0,10,8,80.0,0,1,0,0.0,0,1,2,50.0,0,0,2,1,0,0,2,0.0
7,Tammy Abraham,ENG,FW,Roma,Serie A,24.0,37,0.5,0.15,3,3,17,692,500,72.25,4,24,4,16.67,22,37,76,48.68,9,0,43,50,0,82,99,45.27
8,Luis Abram,PER,DF,Granada,La Liga,26.0,8,0.0,0.0,0,0,0,221,195,88.24,0,0,0,,6,0,0,,2,0,5,5,1,12,15,44.5
9,Francesco Acerbi,ITA,DF,Lazio,Serie A,34.0,30,0.14,0.25,0,0,4,2003,1812,90.46,0,1,0,0.0,12,3,4,75.0,2,1,20,19,0,80,45,63.96
10,Ragnar Ache,GER,MFFW,Eint Frankfurt,Bundesliga,23.0,13,0.0,0.0,0,0,0,71,42,59.15,1,6,2,33.33,2,4,8,50.0,0,0,6,8,0,20,11,64.55
11,Mohamed Achi,FRA,MF,Nantes,Ligue 1,20.0,1,0.0,0.0,0,0,0,6,3,50.0,0,0,0,,1,0,0,,0,0,0,0,0,0,0,
12,Marcos Acuña,ARG,DF,Sevilla,La Liga,30.0,31,0.04,0.06,0,0,1,1971,1564,79.35,3,124,23,18.55,39,45,65,69.23,10,0,41,54,0,33,37,47.12
13,Che Adams,SCO,FW,Southampton,Premier League,25.0,30,0.31,0.14,0,0,7,483,335,69.36,3,11,1,9.09,9,14,33,42.42,0,0,31,47,0,56,111,33.56
14,Tyler Adams,USA,MF,RB Leipzig,Bundesliga,23.0,24,0.0,0.0,0,0,0,914,793,86.76,1,3,0,0.0,16,10,17,58.82,5,0,20,18,0,23,12,65.67
15,Sargis Adamyan,ARM,FWMF,Hoffenheim,Bundesliga,29.0,13,0.27,0.33,0,0,1,97,72,74.23,0,6,2,33.33,8,6,9,66.67,0,0,6,9,0,5,13,27.78
16,Martin Adeline,FRA,MFFW,Reims,Ligue 1,18.0,8,0.0,0.0,0,0,0,146,107,73.29,0,2,0,0.0,12,3,5,60.0,1,0,16,2,0,2,8,19.92
17,Amine Adli,FRA,FWMF,Leverkusen,Bundesliga,22.0,25,0.21,0.08,0,0,3,518,391,75.48,2,26,8,30.77,25,24,45,53.33,3,0,27,32,0,19,35,35.23
18,Yacine Adli,FRA,MFFW,Bordeaux,Ligue 1,21.0,36,0.04,0.03,0,0,1,1238,912,73.67,7,39,4,10.26,34,44,79,55.7,5,0,27,33,0,24,20,54.55
19,Michel Aebischer,SUI,MF,Bologna,Serie A,25.0,12,0.0,0.0,0,0,0,244,217,88.93,0,2,1,50.0,8,1,3,33.33,1,0,14,4,0,6,8,42.81
20,Felix Afena-Gyan,GHA,FWMF,Roma,Serie A,19.0,17,0.27,0.11,0,0,2,165,125,75.76,0,8,2,25.0,4,9,23,39.13,5,1,15,26,0,9,18,33.42
21,Martin Agirregabiria,ESP,DF,Alavés,La Liga,26.0,24,0.0,0.0,0,0,0,786,562,71.5,1,39,11,28.21,23,14,19,73.68,4,0,30,27,0,34,39,46.55
22,Julen Agirrezabala,ESP,GK,Athletic Club,La Liga,21.0,4,0.0,0.0,0,0,0,82,61,74.39,0,0,0,,0,0,0,,0,0,0,0,0,0,0,
23,Lucien Agoume,FRA,MF,Brest,Ligue 1,20.0,27,0.0,0.0,0,0,0,980,826,84.29,0,4,0,0.0,42,20,29,68.97,6,0,35,19,0,31,31,50.0
24,Kevin Agudelo,COL,MFFW,Spezia,Serie A,23.0,23,0.22,0.14,0,0,3,386,285,73.83,1,13,3,23.08,27,28,51,54.9,2,1,39,26,0,16,20,44.49
25,Nayef Aguerd,MAR,DF,Rennes,Ligue 1,26.0,31,0.07,0.08,0,0,2,2173,1954,89.92,2,2,0,0.0,12,5,6,83.33,3,1,18,16,0,108,46,70.16
